Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C3,C1210,14.3000mm,28.7000mm,14.3000mm,28.7000mm,14.3000mm,28.7000mm,Top,270,100 uF
C12,C0603K,35.9900mm,47.5600mm,35.9900mm,47.5600mm,35.9900mm,47.5600mm,Top,0,0.1uF
C13,C0603K,17.5000mm,42.9000mm,17.5000mm,42.9000mm,17.5000mm,42.9000mm,Top,0,4.7uF
C16,C0603K,19.9000mm,42.0000mm,19.9000mm,42.0000mm,19.9000mm,42.0000mm,Top,90,1uF
DD,LED-603,74.2500mm,33.4500mm,74.2500mm,33.4500mm,74.2500mm,33.4500mm,Top,0,LED-603
MCU,LQFP100,35.9700mm,36.5200mm,35.9700mm,36.5200mm,35.9700mm,36.5200mm,Top,315,STM32F407VGT6
ON,LED-603,74.2500mm,36.3500mm,74.2500mm,36.3500mm,74.2500mm,36.3500mm,Top,180,LED-603
Q1,CRYSTAL-SMD-5X3,25.0600mm,44.4000mm,25.0600mm,44.4000mm,25.0600mm,44.4000mm,Top,45,8 MHz
R1,R0603,9.5900mm,23.5500mm,9.5900mm,23.5500mm,9.5900mm,23.5500mm,Top,0,10K
R5,R0603,42.6600mm,46.8500mm,42.6600mm,46.8500mm,42.6600mm,46.8500mm,Top,180,10K
RT9166A-36,SOT-89-3,18.4000mm,45.9500mm,18.4000mm,45.9500mm,18.4000mm,45.9500mm,Top,0,RT9166A-36
SW1,SW_TACT_3X6,70.6500mm,40.2500mm,70.6500mm,40.2500mm,70.6500mm,40.2500mm,Top,180,SW_TACT_2P-3X6
SW2,SW_TACT_3X6,70.8500mm,25.1000mm,70.8500mm,25.1000mm,70.8500mm,25.1000mm,Top,180,SW_TACT_2P-3X6
SW3,SW_TACT_3X6,7.2100mm,27.0500mm,7.2100mm,27.0500mm,7.2100mm,27.0500mm,Top,0,SW_TACT_2P-3X6
TP1,"B1,27",5.5000mm,23.1000mm,5.5000mm,23.1000mm,5.5000mm,23.1000mm,Top,0,"PTR1B1,27"
TP2,"B1,27",3.1000mm,24.6000mm,3.1000mm,24.6000mm,3.1000mm,24.6000mm,Top,0,"PTR1B1,27"
USB,USB-MINIB,6.4300mm,43.4000mm,6.4300mm,43.4000mm,6.4300mm,43.4000mm,Top,270,USB-MINIB
C1,C0603K,26.7800mm,45.9800mm,26.7800mm,45.9800mm,26.7800mm,45.9800mm,Bottom,45,20pF
C2,C0603,16.4000mm,39.1000mm,16.4000mm,39.1000mm,16.4000mm,39.1000mm,Bottom,90,0.1 uF
C4,C0603K,23.4500mm,42.9500mm,23.4500mm,42.9500mm,23.4500mm,42.9500mm,Bottom,225,20pF
C5,C0603K,36.3100mm,29.1100mm,36.3100mm,29.1100mm,36.3100mm,29.1100mm,Bottom,135,2.2uF
C6,C0603K,42.6100mm,36.8300mm,42.6100mm,36.8300mm,42.6100mm,36.8300mm,Bottom,225,2.2uF
C7,C0603K,34.8900mm,40.5400mm,34.8900mm,40.5400mm,34.8900mm,40.5400mm,Bottom,315,0.1uF
C8,C0603K,33.6900mm,41.7100mm,33.6900mm,41.7100mm,33.6900mm,41.7100mm,Bottom,315,1 uF
C9,C0603K,30.2700mm,36.9400mm,30.2700mm,36.9400mm,30.2700mm,36.9400mm,Bottom,225,0.1uF
C10,C0603K,36.5100mm,24.6400mm,36.5100mm,24.6400mm,36.5100mm,24.6400mm,Bottom,45,0.1uF
C11,C0603K,51.0200mm,35.0700mm,51.0200mm,35.0700mm,51.0200mm,35.0700mm,Bottom,315,0.1uF
C14,C0603,19.1000mm,38.4500mm,19.1000mm,38.4500mm,19.1000mm,38.4500mm,Bottom,90,10 uF
C17,C0603K,59.3000mm,23.9000mm,59.3000mm,23.9000mm,59.3000mm,23.9000mm,Bottom,180,0.1uF
MICROSD,MICROSD_PULL_TYPE,67.1300mm,23.5600mm,67.1300mm,23.5600mm,67.1300mm,23.5600mm,Bottom,90,MICROSD_PULL_TYPE
R6,R0603,69.5500mm,37.0700mm,69.5500mm,37.0700mm,69.5500mm,37.0700mm,Bottom,180,1K
R7,R0603,47.0900mm,32.6700mm,47.0900mm,32.6700mm,47.0900mm,32.6700mm,Bottom,315,22
R8,R0603,47.3400mm,29.4100mm,47.3400mm,29.4100mm,47.3400mm,29.4100mm,Bottom,135,22
R9,R0603,44.9400mm,30.5300mm,44.9400mm,30.5300mm,44.9400mm,30.5300mm,Bottom,135,330
R10,R0603,25.0500mm,44.3900mm,25.0500mm,44.3900mm,25.0500mm,44.3900mm,Bottom,135,10M
R14,R0603,69.5500mm,34.9000mm,69.5500mm,34.9000mm,69.5500mm,34.9000mm,Bottom,180,1K
WIFI,ESP-12-F,10.2500mm,28.4500mm,10.2500mm,28.4500mm,10.2500mm,28.4500mm,Bottom,270,ESP
