Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint ,Type,Your Instructions / Notes
1,"C2,C7,C9,C10,C11,C12,C17",7,,C-EUC0603K,0.1uF,C0603K,SMD,
2,"R1,R5",2,,R-EU_R0603,10K,R0603,SMD,
3,R10,1,,R-EU_R0603,10M,R0603,SMD,
4,"C1,C4",2,,C-EUC0603K,20 pF,C0603K,SMD,
5,C8,1,,C-EUC0603K,1 uF X7R,C0603K,SMD,
6,C16,1,,C-EUC0603K,1 uF,C0603K,SMD,
7,"C5,C6",2,,C-EUC0603K,2.2 uF,C0603K,SMD,
8,C13,1,,C-EUC0603K,4.7 uF X7R,C0603K,SMD,
9,C14,1,,C-EUC0603,10 uF,C0603,SMD,C14 (optional not really needed).
10,C3,1,,C-EUC1210,47 - 100 uF,C1210,SMD,C3  (optional not really needed).
11,"R7,R8",2,,R-EU_R0603,22 R,R0603,SMD,
12,R9,1,,R-EU_R0603,330 R,R0603,SMD,
13,"R6,R14",2,,R-EU_R0603,1000 R,R0603,SMD,
14,"DD,ON",2,,LED-0603,3V,LED-603,SMD,
15,Q1,1,,CRYSTAL5X3,8 MHz,CRYSTAL-SMD-5X3,SMD,
16,WIFI,1,,ESP-12-F,ESP,ESP-12-F,SMD,
17,RT9166A-36,1,,RT9166A-36,RT9166A-36,SOT-89-3,SMD,3.6V Voltage regulator
18,MICROSD,1,,MICROSD_PULL_TYPE,MICROSD_PULL_TYPE,MICROSD_PULL_TYPE,SMD,
19,MCU,1,,STM32F407VGT6,STM32F407VGT6,LQFP-100,SMD,STM32F407
20,"SW1,SW2,SW3",3,,SW_TACT_2P-3X6,SW_TACT_2P-3X6,SW_TACT_3X6,SMD,
21,,1,,-,EXP_PORT,3X25,,90 DEG PIN HEADER (top mount) or EDGE connector (bottom mount)
22,,1,,CON_HEADER_1X03-PTH,CON_HEADER_1X03-PTH,M1X3,,Power Jumper
23,,1,,PINHD-1X9,JTAG,1X09,,PIN HEADER
24,USB,1,,USBMINIB,,USB-MINIB,SMD,USB Connectors
